OriginalReflexAgent,1,capsuleClassic,-467.86,221.72E-06
ReflexAgent,1,capsuleClassic,26.00,274.94E-06
MinimaxAgent,2,capsuleClassic,240.00,3012.05E-06
MinimaxAgent,3,capsuleClassic,1049.86,10060.37E-06
MinimaxAgent,4,capsuleClassic,955.71,34705.21E-06
AlphaBetaAgent,2,capsuleClassic,544.43,2024.97E-06
AlphaBetaAgent,3,capsuleClassic,669.29,8071.99E-06
AlphaBetaAgent,4,capsuleClassic,462.14,18366.86E-06
RandomExpectimaxAgent,2,capsuleClassic,639.86,8626.33E-06
RandomExpectimaxAgent,3,capsuleClassic,1219.71,30476.20E-06
RandomExpectimaxAgent,4,capsuleClassic,664.71,15673.41E-06

OriginalReflexAgent,1,contestClassic,433.86,214.00E-06
ReflexAgent,1,contestClassic,854.86,524.26E-06
MinimaxAgent,2,contestClassic,1732.00,5675.19E-06
MinimaxAgent,3,contestClassic,2361.00,29191.39E-06
MinimaxAgent,4,contestClassic,2275.71,149436.15E-06
AlphaBetaAgent,2,contestClassic,1369.43,4323.52E-06
AlphaBetaAgent,3,contestClassic,2033.00,16953.04E-06
AlphaBetaAgent,4,contestClassic,2381.86,74483.39E-06
RandomExpectimaxAgent,2,contestClassic,2207.86,30082.83E-06
RandomExpectimaxAgent,3,contestClassic,2033.71,33020.20E-06
RandomExpectimaxAgent,4,contestClassic,2149.57,22334.28E-06

OriginalReflexAgent,1,mediumClassic,87.43,159.76E-06
ReflexAgent,1,mediumClassic,1147.43,540.69E-06
MinimaxAgent,2,mediumClassic,1601.86,5356.26E-06
MinimaxAgent,3,mediumClassic,1438.14,26363.65E-06
MinimaxAgent,4,mediumClassic,1875.57,126367.51E-06
AlphaBetaAgent,2,mediumClassic,1758.00,3654.05E-06
AlphaBetaAgent,3,mediumClassic,1922.14,13200.33E-06
AlphaBetaAgent,4,mediumClassic,1760.57,43748.14E-06
RandomExpectimaxAgent,2,mediumClassic,1887.43,21636.31E-06
RandomExpectimaxAgent,3,mediumClassic,1831.14,28145.05E-06
RandomExpectimaxAgent,4,mediumClassic,1923.71,24627.03E-06

OriginalReflexAgent,1,minimaxClassic,227.43,71.24E-06
ReflexAgent,1,minimaxClassic,-208.71,242.89E-06
MinimaxAgent,2,minimaxClassic,511.71,1634.35E-06
MinimaxAgent,3,minimaxClassic,506.71,4513.53E-06
MinimaxAgent,4,minimaxClassic,364.43,12254.32E-06
AlphaBetaAgent,2,minimaxClassic,363.29,1423.61E-06
AlphaBetaAgent,3,minimaxClassic,509.14,2791.52E-06
AlphaBetaAgent,4,minimaxClassic,-69.14,6471.81E-06
RandomExpectimaxAgent,2,minimaxClassic,365.71,4171.24E-06
RandomExpectimaxAgent,3,minimaxClassic,224.14,4982.65E-06
RandomExpectimaxAgent,4,minimaxClassic,367.71,4704.39E-06

OriginalReflexAgent,1,openClassic,332.86,195.95E-06
ReflexAgent,1,openClassic,1334.57,564.20E-06
MinimaxAgent,2,openClassic,1315.29,18194.46E-06
MinimaxAgent,3,openClassic,1353.29,180113.06E-06
MinimaxAgent,4,openClassic,1168.86,1782302.78E-06
AlphaBetaAgent,2,openClassic,1297.14,10722.25E-06
AlphaBetaAgent,3,openClassic,1351.14,60293.55E-06
AlphaBetaAgent,4,openClassic,1295.29,309710.38E-06
RandomExpectimaxAgent,2,openClassic,1374.57,164391.45E-06
RandomExpectimaxAgent,3,openClassic,1239.14,173024.08E-06
RandomExpectimaxAgent,4,openClassic,1345.57,181925.28E-06

OriginalReflexAgent,1,originalClassic,346.71,245.89E-06
ReflexAgent,1,originalClassic,2039.29,746.58E-06
MinimaxAgent,2,originalClassic,2573.43,5645.20E-06
MinimaxAgent,3,originalClassic,2903.14,18944.93E-06
MinimaxAgent,4,originalClassic,2572.86,81941.07E-06
AlphaBetaAgent,2,originalClassic,2094.29,5399.91E-06
AlphaBetaAgent,3,originalClassic,2429.71,14647.63E-06
AlphaBetaAgent,4,originalClassic,2781.43,41992.59E-06
RandomExpectimaxAgent,2,originalClassic,2390.57,20077.77E-06
RandomExpectimaxAgent,3,originalClassic,2365.57,21949.98E-06
RandomExpectimaxAgent,4,originalClassic,2844.71,18820.27E-06

OriginalReflexAgent,1,smallClassic,-168.43,154.29E-06
ReflexAgent,1,smallClassic,666.57,286.43E-06
MinimaxAgent,2,smallClassic,1273.86,5130.21E-06
MinimaxAgent,3,smallClassic,1582.14,25460.11E-06
MinimaxAgent,4,smallClassic,1580.57,191288.24E-06
AlphaBetaAgent,2,smallClassic,1155.14,4774.59E-06
AlphaBetaAgent,3,smallClassic,1207.29,17433.93E-06
AlphaBetaAgent,4,smallClassic,1221.86,66000.96E-06
RandomExpectimaxAgent,2,smallClassic,1164.14,31487.39E-06
RandomExpectimaxAgent,3,smallClassic,1425.71,30356.53E-06
RandomExpectimaxAgent,4,smallClassic,1317.86,29326.76E-06

OriginalReflexAgent,1,testClassic,520.29,91.14E-06
ReflexAgent,1,testClassic,525.43,252.74E-06
MinimaxAgent,2,testClassic,538.57,3746.65E-06
MinimaxAgent,3,testClassic,542.29,23882.69E-06
MinimaxAgent,4,testClassic,544.29,171485.22E-06
AlphaBetaAgent,2,testClassic,539.43,3499.72E-06
AlphaBetaAgent,3,testClassic,538.00,10302.01E-06
AlphaBetaAgent,4,testClassic,548.29,37565.60E-06
RandomExpectimaxAgent,2,testClassic,539.14,27222.78E-06
RandomExpectimaxAgent,3,testClassic,551.43,25616.33E-06
RandomExpectimaxAgent,4,testClassic,537.43,25750.07E-06

OriginalReflexAgent,1,trappedClassic,-501.14,0.00E-06
ReflexAgent,1,trappedClassic,88.86,142.74E-06
MinimaxAgent,2,trappedClassic,-205.86,711.30E-06
MinimaxAgent,3,trappedClassic,-58.29,836.16E-06
MinimaxAgent,4,trappedClassic,-206.29,855.80E-06
AlphaBetaAgent,2,trappedClassic,236.71,517.07E-06
AlphaBetaAgent,3,trappedClassic,-58.29,605.55E-06
AlphaBetaAgent,4,trappedClassic,-206.14,491.96E-06
RandomExpectimaxAgent,2,trappedClassic,-353.71,729.39E-06
RandomExpectimaxAgent,3,trappedClassic,-354.00,661.62E-06
RandomExpectimaxAgent,4,trappedClassic,-353.86,911.33E-06

OriginalReflexAgent,1,trickyClassic,-2.14,145.87E-06
ReflexAgent,1,trickyClassic,367.29,458.30E-06
MinimaxAgent,2,trickyClassic,1724.29,9528.78E-06
MinimaxAgent,3,trickyClassic,1740.86,95611.67E-06
MinimaxAgent,4,trickyClassic,2291.00,840633.93E-06
AlphaBetaAgent,2,trickyClassic,1597.29,6809.20E-06
AlphaBetaAgent,3,trickyClassic,1609.00,33660.21E-06
AlphaBetaAgent,4,trickyClassic,2121.57,187974.87E-06
RandomExpectimaxAgent,2,trickyClassic,2243.71,84202.33E-06
RandomExpectimaxAgent,3,trickyClassic,2360.00,89923.47E-06
RandomExpectimaxAgent,4,trickyClassic,1595.29,106132.96E-06

